nombre_comuna;codigo_comuna;nombre_region;codigo_region;n_comuna;promedio_notas;paes_complectora;paes_matematica1;paes_matematica2;paes_histciesoc;paes_ciencias;promedio_notas_min;paes_complectora_min;paes_matematica1_min;paes_matematica2_min;paes_histciesoc_min;paes_ciencias_min;promedio_notas_max;paes_complectora_max;paes_matematica1_max;paes_matematica2_max;paes_histciesoc_max;paes_ciencias_max
Algarrobo;5602;Valparaíso;05;214;6,0;578,2;559,8;387,5;485,5;460,8;4,8;260;362;246;275;284;7,0;922;963;732;877;797
Alhué;13502;Metropolitana de Santiago;13;68;5,8;540,8;545,7;361,6;467,4;452,0;4,6;302;346;248;298;347;7,0;833;862;534;751;610
Alto Biobío;8314;Biobío;08;34;6,0;445,2;457,9;368,5;363,3;392,6;5,0;291;362;248;176;323;6,9;576;523;452;445;455
Alto Hospicio;1107;Tarapacá;01;2159;5,9;546,2;552,1;370,0;442,2;444,7;4,6;206;330;195;221;273;7,0;899;1000;848;832;826
Alto del Carmen;3302;Atacama;03;40;5,8;496,9;505,9;345,1;399,8;412,5;4,9;350;424;248;312;323;6,8;679;705;419;549;527
Ancud;10202;Los Lagos;10;735;6,0;593,4;582,1;384,1;483,7;466,9;4,9;277;316;221;241;298;7,0;878;1000;760;894;815
Andacollo;4103;Coquimbo;04;174;5,8;536,3;548,8;368,4;454,5;446,2;4,6;245;346;269;271;294;6,9;788;963;590;739;671
Angol;9201;La Araucanía;09;1320;5,9;576,7;577,1;386,7;462,7;465,7;4,4;242;300;195;216;100;7,0;947;1000;808;918;884
Antofagasta;2101;Antofagasta;02;6274;5,9;595,8;600,0;404,4;484,4;483,6;4,5;186;300;100;216;240;7,0;975;1000;890;942;884
Antuco;8302;Biobío;08;53;6,0;575,4;566,7;370,3;457,9;478,2;4,9;288;346;246;298;351;6,9;815;939;520;819;660
Arauco;8202;Biobío;08;720;5,9;578,5;584,3;389,3;461,2;472,1;4,7;245;316;246;216;307;7,0;944;1000;1000;872;866
Arica;15101;Arica y Parinacota;15;4499;6,0;568,6;579,2;392,0;468,0;473,1;4,0;206;243;100;100;259;7,0;918;1000;889;918;903
Aysén;11201;Aysén del General Carlos Ibáñez del Campo;11;482;6,0;609,6;620,2;422,9;530,4;496,7;4,6;100;362;248;298;289;7,0;947;1000;847;921;841
Buin;13402;Metropolitana de Santiago;13;1800;5,9;588,3;595,2;413,8;490,8;479,0;4,3;260;264;223;129;218;7,0;947;1000;890;899;905
Bulnes;16102;Ñuble;16;385;6,0;571,6;578,2;385,8;464,9;460,9;5,0;260;346;223;236;303;7,0;857;1000;676;856;783
Cabildo;5402;Valparaíso;05;381;5,9;548,9;555,7;375,8;460,6;445,8;4,2;100;346;246;255;264;6,9;854;939;703;800;797
Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;25;6,2;665,9;629,2;418,2;550,9;483,9;5,3;405;413;328;317;394;6,8;857;939;631;851;671
Cabrero;8303;Biobío;08;435;6,1;570,9;593,7;399,7;445,3;453,7;4,5;305;362;221;236;225;7,0;857;1000;810;800;774
Calama;2201;Antofagasta;02;2615;5,9;596,1;603,2;404,4;493,5;489,0;4,7;260;316;221;255;147;7,0;922;1000;868;921;887
Calbuco;10102;Los Lagos;10;433;5,9;573,1;578,3;387,6;475,6;466,9;4,7;163;392;221;289;311;7,0;857;1000;890;894;762
Caldera;3102;Atacama;03;285;5,8;540,3;534,2;352,7;460,2;434,7;4,6;288;346;221;259;313;7,0;896;917;571;819;691
Calera;5502;Valparaíso;05;961;6,0;571,4;570,5;384,2;470,6;461,5;4,7;206;316;193;216;306;7,0;878;1000;868;872;903
Calera de Tango;13403;Metropolitana de Santiago;13;431;6,0;616,5;635,0;439,1;527,6;538,6;4,7;263;264;223;259;327;7,0;922;1000;890;1000;901
Calle Larga;5302;Valparaíso;05;174;6,1;565,4;576,1;395,2;476,8;467,7;4,8;317;331;269;201;323;7,0;878;990;808;851;831
Camarones;15102;Arica y Parinacota;15;7;5,5;395,2;483,2;363,0;366,3;386,3;5,2;378;450;363;298;332;5,8;418;535;363;405;438
Camiña;1402;Tarapacá;01;20;6,0;440,1;483,1;344,8;419,4;399,7;5,1;364;403;246;317;376;7,0;506;549;476;460;421
Canela;4202;Coquimbo;04;115;6,0;523,6;538,4;389,0;425,5;442,2;5,0;305;362;290;196;287;7,0;857;897;655;773;676
Carahue;9102;La Araucanía;09;439;6,0;563,8;548,7;357,8;449,6;447,3;4,6;288;331;163;241;301;7,0;878;917;563;756;749
Cartagena;5603;Valparaíso;05;350;6,0;561,6;551,6;366,4;463,8;449,8;4,3;100;331;223;255;284;7,0;857;917;582;877;682
Casablanca;5102;Valparaíso;05;411;6,0;574,1;576,5;373,9;472,2;455,1;4,7;291;346;195;236;312;7,0;947;1000;827;851;801
Castro;10201;Los Lagos;10;1107;6,0;607,7;596,7;400,9;501,7;478,1;4,6;291;346;221;298;311;7,0;947;1000;792;899;884
Catemu;5702;Valparaíso;05;203;5,7;513,1;524,1;363,2;420,9;415,5;4,7;263;331;246;259;301;7,0;896;879;498;832;663
Cauquenes;7201;Maule;07;845;6,1;574,1;576,3;388,1;453,4;471,1;4,8;275;330;163;236;264;7,0;896;1000;847;773;867
Cañete;8203;Biobío;08;782;6,1;583,5;588,6;390,1;474,8;473,2;4,7;263;330;161;255;299;7,0;899;1000;868;872;841
Cerrillos;13102;Metropolitana de Santiago;13;848;5,8;589,9;585,3;386,9;481,8;468,2;4,4;260;346;223;255;273;7,0;896;1000;848;872;903
Cerro Navia;13103;Metropolitana de Santiago;13;587;5,8;539,7;548,8;370,0;447,0;444,3;4,3;275;316;193;241;287;7,0;878;963;655;836;754
Chaitén;10401;Los Lagos;10;64;6,0;552,1;559,6;363,1;456,1;449,0;5,2;334;316;221;285;328;6,9;788;939;548;582;692
Chanco;7202;Maule;07;66;6,0;488,5;526,6;355,5;401,0;417,3;5,0;291;403;248;289;331;6,9;711;688;437;570;593
Chañaral;3201;Atacama;03;162;5,8;538,2;527,2;369,4;427,9;432,9;4,7;291;330;221;255;284;7,0;837;989;718;712;698
Chiguayante;8103;Biobío;08;1869;6,0;610,1;625,1;423,9;504,6;507,8;4,4;275;330;163;241;298;7,0;947;1000;1000;946;1000
Chile Chico;11401;Aysén del General Carlos Ibáñez del Campo;11;12;5,6;459,6;485,8;320,0;454,0;460,5;4,9;302;413;312;344;361;6,2;641;593;328;609;571
Chillán;16101;Ñuble;16;4567;6,0;607,4;609,5;412,8;496,1;496,1;4,4;226;330;193;176;294;7,0;975;1000;915;942;925
Chillán Viejo;16103;Ñuble;16;174;6,0;583,1;573,0;382,3;489,6;466,5;4,8;277;346;271;271;331;6,9;899;963;573;918;815
Chimbarongo;6303;Libertador General Bernardo O'Higgins;06;441;5,9;584,3;577,0;366,9;468,7;465,9;4,7;275;331;246;275;298;6,9;857;990;657;894;760
Cholchol;9121;La Araucanía;09;247;5,9;529,9;526,1;350,6;454,8;434,0;4,6;163;346;221;271;303;6,9;837;862;522;832;728
Chonchi;10203;Los Lagos;10;154;5,9;551,3;546,3;367,9;456,6;452,6;5,0;338;346;223;241;341;6,7;833;1000;716;734;861
Chépica;6302;Libertador General Bernardo O'Higgins;06;132;6,1;537,6;541,2;366,7;451,3;420,0;4,7;288;362;269;271;279;7,0;878;1000;1000;734;795
Cisnes;11202;Aysén del General Carlos Ibáñez del Campo;11;12;5,7;497,0;510,0;328,6;406,8;411,8;5,2;338;378;193;317;340;6,4;707;679;393;510;510
Cobquecura;16202;Ñuble;16;37;5,8;493,0;514,2;306,0;396,6;440,0;4,8;350;413;195;298;361;7,0;770;797;381;591;623
Cochamó;10103;Los Lagos;10;45;5,7;526,6;552,1;380,5;434,2;453,6;4,8;338;413;195;298;363;6,9;819;811;667;609;673
Cochrane;11301;Aysén del General Carlos Ibáñez del Campo;11;84;5,9;567,4;585,7;367,0;475,6;454,3;4,8;305;346;269;344;336;6,9;819;861;434;720;752
Codegua;6102;Libertador General Bernardo O'Higgins;06;90;5,9;543,3;515,4;358,6;453,4;430,3;4,6;317;378;292;221;320;6,9;759;731;452;699;740
