comuna;cut_comuna;region;cut_region;promedio_notas;paes_complectora;paes_matematica1;paes_matematica2;paes_histciesoc;paes_ciencias
Iquique;1101;Tarapacá;1;5,98499710312862;591,277511961722;595,053743513714;400,377280265340;491,442556084296;480,630601092896
Alto Hospicio;1107;Tarapacá;1;5,91157894736842;546,166666666667;552,107652399481;369,995055624227;442,232378854626;444,688990825688
Pozo Almonte;1401;Tarapacá;1;6,15274038461538;530,390728476821;543,202702702703;358,231707317073;450,720930232558;450,255319148936
Camiña;1402;Tarapacá;1;6,03111111111111;440,083333333333;483,083333333333;344,800000000000;419,363636363636;399,666666666667
Colchane;1403;Tarapacá;1;6,13875000000000;446,933333333333;483,066666666667;327,222222222222;389,750000000000;369,142857142857
Huara;1404;Tarapacá;1;5,88433333333333;476,363636363636;504,454545454545;317,300000000000;439,733333333333;403,307692307692
Pica;1405;Tarapacá;1;5,90439252336449;518,176470588235;529,512195121951;368,764705882353;437,638888888889;426,709677419355
Antofagasta;2101;Antofagasta;2;5,94805627425615;595,762907069102;600,017269076305;404,409409409409;484,384341637011;483,552161383285
Mejillones;2102;Antofagasta;2;6,13310559006211;505,443548387097;524,067796610169;359,452380952381;424,589041095890;416,107526881720
Sierra Gorda;2103;Antofagasta;2;6,05375000000000;443,375000000000;460,625000000000;365,875000000000;390,000000000000;399,500000000000
Taltal;2104;Antofagasta;2;6,27677419354839;530,835294117647;546,011904761905;360,647619047619;434,171428571429;432,301369863014
Calama;2201;Antofagasta;2;5,93674893945237;596,091428571429;603,188496858386;404,432601880878;493,502606882169;488,999344262295
San Pedro de Atacama;2203;Antofagasta;2;5,82952755905512;535,097087378641;556,733333333333;347,000000000000;441,341463414634;430,926315789474
Tocopilla;2301;Antofagasta;2;5,93914027149321;531,894886363636;531,813753581662;360,281879194631;429,900990099010;439,831417624521
María Elena;2302;Antofagasta;2;6,04490196078431;534,068181818182;513,595238095238;332,909090909091;428,000000000000;425,055555555556
Copiapó;3101;Atacama;3;5,88679446219382;582,983535528596;578,621278458844;391,010784313725;482,693045563549;470,194661458333
Caldera;3102;Atacama;3;5,75279151943463;540,267241379310;534,182608695652;352,654205607477;460,243902439024;434,718954248366
Tierra Amarilla;3103;Atacama;3;5,91853333333333;473,916666666667;493,250000000000;346,657894736842;419,161290322581;415,297297297297
Chañaral;3201;Atacama;3;5,80462962962963;538,165413533835;527,214814814815;369,380952380952;427,934065934066;432,867346938775
Diego de Almagro;3202;Atacama;3;6,14910852713178;564,861244019139;567,560386473430;373,537735849057;443,683673469388;457,746835443038
Vallenar;3301;Atacama;3;5,98374020156775;563,301204819277;570,117250673854;377,341145833333;472,853488372093;459,211428571429
Alto del Carmen;3302;Atacama;3;5,81150000000000;496,903225806452;505,933333333333;345,133333333333;399,818181818182;412,480000000000
Freirina;3303;Atacama;3;5,96333333333333;525,425000000000;528,075000000000;349,600000000000;401,090909090909;437,240000000000
Huasco;3304;Atacama;3;5,88616161616162;518,637500000000;514,105263157895;339,620689655172;450,166666666667;411,351851851852
La Serena;4101;Coquimbo;4;5,96410587818697;605,272285966461;612,444345304484;413,738381201044;500,281591604722;495,680864197531
Coquimbo;4102;Coquimbo;4;5,88467994310100;586,496345029240;583,129650092081;385,189018901890;485,515256588072;476,779179810726
Andacollo;4103;Coquimbo;4;5,80716763005780;536,260273972603;548,756944444444;368,419354838710;454,459459459459;446,211009174312
La Higuera;4104;Coquimbo;4;5,91266666666667;580,800000000000;570,400000000000;354,000000000000;433,833333333333;461,500000000000
Paiguano;4105;Coquimbo;4;5,82179487179487;588,766666666667;543,275862068965;384,000000000000;479,315789473684;462,684210526316
Vicuña;4106;Coquimbo;4;5,99268623024831;548,646723646724;553,073446327684;369,046052631579;450,206572769953;445,095785440613
Illapel;4201;Coquimbo;4;6,02283154121864;561,885714285714;548,308888888889;372,252631578947;462,589285714286;453,291666666667
Canela;4202;Coquimbo;4;5,96365217391304;523,642105263158;538,408602150538;389,048780487805;425,500000000000;442,210526315789
Los Vilos;4203;Coquimbo;4;5,81147335423197;549,368627450980;554,245059288538;376,942857142857;439,462500000000;450,356756756757
Salamanca;4204;Coquimbo;4;5,94940639269406;559,221910112360;551,353276353276;362,361904761905;449,727272727273;451,274074074074
Ovalle;4301;Coquimbo;4;5,93168539325843;578,014876033058;581,610094287299;391,255621301775;474,153554502370;472,794871794872
Combarbalá;4302;Coquimbo;4;6,04436781609195;530,180645161290;536,090322580645;380,444444444444;445,009523809524;445,902654867257
Monte Patria;4303;Coquimbo;4;5,76211111111111;541,645161290323;536,376190476190;347,593220338983;435,563909774436;434,123529411765
Punitaqui;4304;Coquimbo;4;5,67560747663551;547,849315068493;571,774647887324;402,828571428571;408,044444444444;456,561403508772
Río Hurtado;4305;Coquimbo;4;6,09525000000000;518,366666666667;522,965517241379;341,250000000000;425,555555555556;432,772727272727
Valparaíso;5101;Valparaíso;5;5,95263564229037;589,194513031550;587,553551609323;394,400689655172;492,213006597550;478,418788410887
Casablanca;5102;Valparaíso;5;5,95508557457213;574,147058823529;576,546827794562;373,881944444444;472,232876712329;455,083333333333
Concón;5103;Valparaíso;5;6,15443661971831;654,488333333333;662,597337770383;463,061818181818;558,800604229607;545,381081081081
Juan Fernández;5104;Valparaíso;5;5,88250000000000;540,285714285714;533,571428571429;393,000000000000;430,000000000000;447,333333333333
Puchuncaví;5105;Valparaíso;5;5,88686098654709;532,767441860465;532,111764705882;360,826666666667;438,588235294118;434,203703703704
Quintero;5107;Valparaíso;5;5,88151767151767;580,273182957393;560,383248730965;376,988165680473;458,641114982578;445,440972222222
Viña del Mar;5109;Valparaíso;5;6,00225906534807;618,361717267552;621,574463007160;421,962858750703;522,752760252366;504,178485092667
Isla de Pascua;5201;Valparaíso;5;6,03653061224490;540,948453608247;550,141414141414;377,277777777778;443,206896551724;427,085714285714
Los Andes;5301;Valparaíso;5;6,03706799750468;593,320208023774;579,021116138763;384,466882067851;484,849865951743;475,496191512514
Calle Larga;5302;Valparaíso;5;6,07578034682081;565,356589147287;576,116279069767;395,210526315789;476,777777777778;467,734693877551
Rinconada;5303;Valparaíso;5;5,64314814814815;506,235294117647;548,343750000000;351,428571428571;431,714285714286;415,545454545455
San Esteban;5304;Valparaíso;5;5,74693333333333;525,049180327869;499,557377049180;364,000000000000;436,242424242424;430,368421052632
La Ligua;5401;Valparaíso;5;5,80515007898894;558,236538461538;562,535372848948;381,154228855721;454,210526315789;455,991712707182
Cabildo;5402;Valparaíso;5;5,86432717678100;548,937293729373;555,748344370861;375,791666666667;460,608433734940;445,784313725490
Papudo;5403;Valparaíso;5;5,84493333333333;539,224137931035;551,694915254237;371,687500000000;449,933333333333;438,268292682927
Petorca;5404;Valparaíso;5;6,11875000000000;532,500000000000;528,000000000000;347,885245901639;441,506329113924;442,807692307692
Zapallar;5405;Valparaíso;5;6,07099415204678;592,006993006993;602,590277777778;403,531250000000;453,208791208791;487,057471264368
Quillota;5501;Valparaíso;5;5,98698233562316;603,997079439252;612,100529100529;412,555555555556;494,561913696060;485,925217391304
Calera;5502;Valparaíso;5;5,98551362683438;571,364000000000;570,542740841248;384,242320819113;470,604545454545;461,477272727273
Hijuelas;5503;Valparaíso;5;6,00617834394904;545,362962962963;539,308270676692;367,680000000000;444,875000000000;452,515151515152
La Cruz;5504;Valparaíso;5;5,88031250000000;555,802631578947;541,039473684211;373,148148148148;451,146341463415;441,021739130435
Nogales;5506;Valparaíso;5;5,92504854368932;535,339920948617;540,366935483871;371,542253521127;441,040462427746;437,489690721649
San Antonio;5601;Valparaíso;5;5,99568527918782;577,728753541076;578,472022955524;388,851162790698;480,191539365452;465,799787007455
Algarrobo;5602;Valparaíso;5;5,96046948356808;578,191616766467;559,754491017964;387,521739130435;485,478260869565;460,795918367347
Cartagena;5603;Valparaíso;5;5,95525862068965;561,572549019608;551,612000000000;366,416000000000;463,826086956522;449,780645161290
El Quisco;5604;Valparaíso;5;6,06473282442748;596,864864864865;578,711711711712;376,250000000000;483,686746987952;458,876404494382
El Tabo;5605;Valparaíso;5;5,86650273224044;544,550000000000;519,172413793103;351,263157894737;451,571428571429;438,243243243243
Santo Domingo;5606;Valparaíso;5;5,95805405405405;575,265822784810;573,363057324841;382,865671641791;477,784313725490;451,915887850467
San Felipe;5701;Valparaíso;5;5,96769108280255;587,507161458333;587,371502927781;392,232876712329;490,168502202643;473,457446808511
Catemu;5702;Valparaíso;5;5,72603960396040;513,137724550898;524,079268292683;363,154761904762;420,909090909091;415,467741935484
Llaillay;5703;Valparaíso;5;5,78782722513089;563,495356037152;550,185185185185;367,832214765101;455,852678571429;440,527131782946
